thinklet_id,problem_name,created_by,notify_to,created_at,annotation_text,relating_to_self,comment_answer,comment_process,count_nChar,count_nWords,contain_question,contain_plan,contain_addTransition,contain_advTransition,contain_causalTransition,contain_seqTransition,count_nNouns,count_nPronouns,count_nVerbs,count_nAdj,count_nAux,count_nCconj,count_nPunct,count_nSym,count_nFPP,contain_same,contain_answer,contain_correct,count_nPositive,count_nNegative
218675,School Night Sleep,251612,251347,5/7/21 20:42,I like how your video is organized,0,0,0,34,7,0,0,1,0,0,0,1,2,1,1,1,0,0,0,1,0,0,0,1,
218684,School Night Sleep,251344,251356,5/7/21 20:44,"Nice Job talking so clearly bro 
 ",0,0,0,34,6,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,2,
218676,School Night Sleep,251614,251344,5/7/21 20:43,you got it correct good job,0,1,0,27,6,0,0,1,0,0,0,1,2,1,2,0,0,0,0,1,0,0,1,2,
216905,Chicken Farmer,251612,251615,4/26/21 21:21,I like how your voice is clear,0,0,0,30,7,0,0,0,0,0,0,1,2,1,1,1,0,0,0,1,0,0,0,2,
216904,Chicken Farmer,251344,251612,4/26/21 21:21,Good Job orginazing it,0,0,0,22,4,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
218672,School Night Sleep,251333,251364,5/7/21 20:44,Good job but you didn't show how you got the answer. yicks,0,0,0,58,12,0,0,0,1,0,0,3,2,2,1,1,1,1,0,1,0,1,0,1,
218678,School Night Sleep,251333,251359,5/7/21 20:47,Yah your voice was Laggy,0,0,0,24,5,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,,1
218683,School Night Sleep,251333,251613,5/7/21 20:49,"I like it how your organized and your voice is loud and clear.
10/10 Great job",0,0,0,78,16,0,0,1,0,0,0,2,4,1,4,1,2,1,0,1,0,0,0,3,1
217299,Chicken Farmer,251612,251356,4/26/21 21:22,good job explaining it  ,0,0,0,24,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
216901,Chicken Farmer,251335,251341,4/26/21 21:22,I like your work and your talent.,0,0,0,33,7,0,0,1,0,0,0,2,3,1,0,0,1,1,0,1,0,0,0,3,
218979,School Night Sleep,251333,251347,5/7/21 20:50,I think you posted your second video umm ok,0,0,0,43,9,0,1,0,0,0,1,2,3,2,2,0,0,0,0,1,0,0,0,,
216895,Chicken Farmer,251333,251353,4/26/21 21:22,I like the way you explained your answer good job ,0,0,0,50,10,0,0,0,0,0,0,3,3,2,1,0,0,0,0,1,0,1,0,2,
218674,School Night Sleep,251333,249349,5/7/21 20:51,Your lagging a lot I think you bring your chromebook to the crome hospital i think thats what its called but great job you did great.,0,0,0,133,26,0,0,0,1,0,0,6,8,5,2,2,1,1,0,2,0,0,0,2,1
218669,School Night Sleep,251333,251353,5/7/21 20:52,I like it how you showed your work and how you did so ill give you a 100/10 woohoo great job,0,0,0,92,21,0,0,1,0,1,0,2,6,3,1,2,1,0,1,1,0,0,0,3,
216893,Chicken Farmer,251335,251347,4/26/21 21:24,I like how you work hard and how you organized.,0,0,0,47,10,0,0,1,0,0,0,0,3,3,0,0,1,1,0,1,0,0,0,2,1
217444,Spending Allowance,249899,249417,4/27/21 17:14,I like how you had 20 then subtected 12 and got 8 then you added 8 and got 16 then you answer was -4 ,0,0,1,101,24,0,1,1,0,1,0,1,4,6,0,1,2,0,1,1,0,1,0,1,
217940,Harold's Apples,251028,251025,5/3/21 20:11,the video is fine i like how you add the numbers ,0,0,1,49,11,0,0,0,0,0,0,2,2,2,1,1,0,0,0,1,0,0,0,2,
218085,Harold's Apples,251028,251019,5/3/21 20:14,i like what you did but that is all you did and i like it,0,0,0,57,15,0,0,1,1,0,0,0,7,4,0,1,2,0,0,1,0,0,0,2,
218091,Harold's Apples,251028,251044,5/3/21 20:12,i like how you add the number,0,0,1,29,7,0,0,0,0,0,0,1,2,2,0,0,0,0,0,1,0,0,0,1,
215770,Malachi's Hike,251019,251044,4/27/21 19:40,I like the way you I like the way you made it a small video. I hadn't thought of that its cool :). Why did you make a triangle for a Mountain,0,0,0,141,32,1,0,1,1,0,0,5,9,5,2,2,0,2,1,1,0,0,0,3,
217253,In and Out,251019,251028,4/27/21 19:55,Next time maybe you can try to make it shorter. I hadn't thought of making the food props,0,0,0,89,18,0,1,1,1,0,1,4,3,4,1,2,0,1,0,2,0,0,0,,
215766,Malachi's Hike,251019,251025,4/27/21 19:46,Why did you talk randomly. I like the way you drawed the stick figure and did the math problem.,0,0,0,95,19,1,0,1,0,0,0,5,3,4,0,1,1,2,0,1,0,0,0,1,2
217522,Spending Allowance,168426,249904,4/27/21 20:01,i like how you used boxes for your work.,0,0,0,40,9,0,0,1,0,0,0,2,3,2,0,0,0,1,0,1,0,0,0,2,
217522,Spending Allowance,168668,249904,4/27/21 20:02,I like the way you  put how much $20 he have and the lost 12,0,0,1,60,15,0,0,1,0,0,0,1,3,3,1,0,1,0,1,1,0,0,0,1,1
217518,Spending Allowance,168418,168723,4/27/21 20:02,I like the way you organized your work!,0,0,0,39,8,0,0,1,0,0,0,2,3,2,0,0,0,1,0,1,0,0,0,2,
217518,Spending Allowance,168426,168723,4/27/21 20:02,i like how you did your work.,0,0,0,29,7,0,0,1,0,0,0,1,3,2,0,0,0,1,0,1,0,0,0,2,
218428,School Night Sleep,251459,251441,5/5/21 16:48,Good job but I dont think you need to go down so your were right when you did the 2.4 you got it tho,0,1,0,100,24,0,0,0,1,1,0,1,6,5,1,2,1,0,0,1,0,0,1,2,
217519,Spending Allowance,249904,167126,4/27/21 20:03,I like the way you used arrows in your problem.,0,0,1,47,10,0,0,0,0,0,0,3,3,2,0,0,0,1,0,1,0,0,0,1,1
218214,School Night Sleep,251445,251478,5/5/21 16:49,I liked the way you explained it because it was short and simple but still good.I also like the way your voice sounded very sussy.,0,0,0,130,25,0,0,1,1,1,0,3,6,4,4,1,2,2,0,1,0,0,0,2,
218207,School Night Sleep,251441,251459,5/5/21 16:48,It was great because I got the same answer. I also like how organized you are,1,1,0,77,16,0,0,1,0,1,0,1,4,2,3,2,0,1,0,2,1,1,0,2,
217517,Spending Allowance,168426,168418,4/27/21 20:04,I like how you organized your work.,0,0,0,35,7,0,0,1,0,0,0,1,3,2,0,0,0,1,0,1,0,0,0,2,
218212,School Night Sleep,251478,251445,5/5/21 16:50,The way that you set up your Data is great. And how you divided to get to your mean. GOOD JOB KALLI :),0,0,1,102,23,0,0,1,0,0,0,4,5,3,2,1,1,2,1,2,0,0,0,2,
218198,School Night Sleep,251472,251465,5/5/21 16:50,"GOOD JOB I LIKE HOW YOU SOLVED IT CAUSE YOU DID IT LIKE NO ONE WOULD DO SO SMART AND INTELLIGENT VERY NICE

",0,0,0,108,23,0,0,1,0,1,0,1,5,3,4,2,1,0,0,0,0,0,0,6,
218212,School Night Sleep,251451,251445,5/5/21 16:50,"I like the way you sorted the data.
I also like the way you showed your work clearly so it wouldn't be confusing.",0,0,1,113,23,0,0,1,0,1,0,4,6,5,0,2,0,2,0,1,0,0,0,4,1
217524,Spending Allowance,168418,249903,4/27/21 20:04,I like how you organized your work!,0,0,0,35,7,0,0,1,0,0,0,1,3,2,0,0,0,1,0,1,0,0,0,2,
217518,Spending Allowance,168668,168723,4/27/21 20:04,I like the way you put different sides ,0,0,0,39,8,0,0,0,0,0,0,2,2,2,1,0,0,0,0,1,0,0,0,1,
218208,School Night Sleep,251447,251467,5/5/21 16:51,I think that Noah had the best estimate because it's about how many people get the average amount of sleep not about how many hours is good for you because that does not have anything to do with the problem,0,0,1,206,40,0,0,1,0,1,0,6,5,5,5,3,0,0,0,1,0,0,0,2,1
218214,School Night Sleep,251445,251478,5/5/21 16:51,GOOD JOB SUSSY ENGI!!!!!!!,0,0,0,26,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,
217525,Spending Allowance,249904,168364,4/27/21 20:05,I like the way you but lost and left amount,0,0,0,43,10,0,0,1,1,0,0,2,2,1,2,0,2,0,0,1,0,0,0,1,1
218215,School Night Sleep,251463,251451,5/5/21 16:51,"Hi. First, that is how you find the median, not the mean. So first you have to find the mean, add all of the numbers and then divide it by how many numbers there are. Then once you found the mean you estimate..",0,0,1,210,43,0,1,1,0,1,1,5,7,8,2,1,1,7,0,2,0,0,0,,
218215,School Night Sleep,251445,251451,5/5/21 16:52,yes,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
217516,Spending Allowance,168426,168668,4/27/21 20:06,"I like how you solved it.
",0,0,0,26,6,0,0,0,0,1,0,0,3,2,0,0,0,1,0,1,0,0,0,1,
218200,School Night Sleep,251453,251474,5/5/21 16:51,I liked how you solved your answer even though I think that's not how your supposed to solve it. But in my opinion your final answer was correct.,0,1,1,145,28,0,0,1,1,1,0,3,9,5,2,2,1,2,0,2,0,1,1,2,
218199,School Night Sleep,251470,251456,5/5/21 16:52,i think you did a good job because you wrote out all the numbers then you drew lines and circles to know where you were at,0,0,1,122,26,0,1,1,0,1,0,4,5,5,1,1,1,0,0,1,0,0,0,1,
218208,School Night Sleep,251461,251467,5/5/21 16:53,I like that you put all of your thought in the recording. And that you used basic knowledge to find out your answer. ,0,0,1,117,23,0,0,1,1,0,0,4,5,4,1,0,1,2,0,1,0,1,0,1,
218205,School Night Sleep,251477,251453,5/5/21 16:54,"I still don't really know the answer to this problem, but I think you organized your graph neatly and I like how you explained it. I can't judge you if you were correct because I don't even know what the answer is.",1,1,0,214,42,0,0,1,1,1,0,4,12,8,1,4,2,3,0,1,0,1,1,3,1
217549,Spending Allowance,168395,251122,4/27/21 21:07,I respectfully disagree with you because you were supposed to find out how much he lost. ,0,0,1,89,16,0,0,0,0,1,0,0,4,4,0,1,0,1,0,1,0,0,0,1,2
216116,"Money, Money, Money",168694,168690,4/21/21 17:26,"I like the way you spread out each problem I also like the ending when u said ""boom bam bye bye"".",0,0,0,97,21,0,0,0,0,1,1,7,4,4,0,0,0,3,0,1,0,0,0,3,1
217552,Spending Allowance,168395,168753,4/27/21 21:06,My strategy is like yours because I also did 3x2 ,1,0,1,49,10,0,0,0,0,1,0,1,3,2,0,1,0,0,0,1,0,0,0,1,
216123,"Money, Money, Money",168745,168726,4/21/21 17:26,I like the way you organized your work.,0,0,0,39,8,0,0,1,0,0,0,2,3,2,0,0,0,1,0,1,0,0,0,2,
217559,Spending Allowance,168669,168395,4/27/21 21:26,I like the way you subtracted the amount Juan spent from the amount he started with.,0,0,1,84,16,0,0,0,0,0,1,3,3,4,0,0,0,1,0,1,0,0,0,1,
217544,Spending Allowance,168410,168746,4/27/21 21:27,My strategy is like yours because i added 8 and 8 together too. ,1,0,1,64,13,0,0,1,0,1,0,1,3,2,0,1,1,1,0,1,0,0,0,1,
216134,"Money, Money, Money",249899,249417,4/21/21 17:28,I like the way you added the 30 + 83 and you got 113,0,0,1,52,14,0,0,1,0,0,0,1,3,3,0,0,1,0,1,1,0,0,0,1,
216123,"Money, Money, Money",249417,168726,4/21/21 17:28,My strategy is like yours because we did the same thing when finding out -20.75x4 was -83,1,0,1,89,17,0,0,0,0,1,0,3,3,3,1,2,0,0,1,2,1,0,0,1,
217555,Spending Allowance,249409,168688,4/27/21 21:27,I like the way you explained and spoke,0,0,0,38,8,0,0,1,0,0,0,1,2,3,0,0,1,0,0,1,0,0,0,1,
216118,"Money, Money, Money",168682,168672,4/21/21 17:29,I like the way you explained this and how you fixed 113 to -113 good job catching your mistake. ,0,0,1,96,19,0,0,1,0,0,0,3,5,4,1,0,1,1,1,1,0,0,0,2,1
218459,School Night Sleep,251484,251360,5/5/21 17:28,I really like your table and your strategies good job!,0,0,0,54,10,0,0,1,0,0,0,3,3,1,1,0,1,1,0,1,0,0,0,2,
216115,"Money, Money, Money",168665,168652,4/21/21 17:30,"I respectfully disagree with you because one of the deposits was 25.25, not 22.25 making your answer wrong.",0,1,1,107,18,0,0,0,0,1,0,2,3,2,1,1,0,2,0,1,0,1,0,1,2
216130,"Money, Money, Money",168722,168682,4/21/21 17:30,I hadn't thought of adding 30 with the 20.75 x4,0,0,1,47,10,0,0,0,1,0,0,0,1,2,0,1,0,0,1,1,0,0,0,,
216123,"Money, Money, Money",168438,168726,4/21/21 17:30,I like the way you put your work  together,0,0,0,42,9,0,0,1,0,0,0,2,3,2,0,0,0,0,0,1,0,0,0,2,
217550,Spending Allowance,168725,251123,4/27/21 21:28,I like the way you us drawing and your adding is right.,0,0,1,55,12,0,0,1,0,0,0,2,4,2,1,1,1,1,0,1,0,0,1,2,
217570,Spending Allowance,168446,168452,4/27/21 21:28,what i did was i broke the numbers into smaller number.,1,0,0,55,11,0,0,0,0,0,0,2,3,2,1,1,0,1,0,1,0,0,0,,1
216124,"Money, Money, Money",168672,168715,4/21/21 17:31,I like the way you how you organize it,0,0,0,38,9,0,0,1,0,0,0,1,4,2,0,0,0,0,0,1,0,0,0,1,
218466,School Night Sleep,251345,251339,5/5/21 17:28,I liked yours cus it shows your work and I got the same answer. ,1,1,0,64,14,0,0,1,0,0,0,2,5,3,1,0,1,1,0,2,1,1,0,2,
217543,Spending Allowance,168410,168713,4/27/21 21:28,I like the way you explained why you thought he lost and gained money. ,0,0,0,71,14,1,0,1,1,0,0,2,4,5,0,0,1,1,0,1,0,0,0,2,1
217555,Spending Allowance,168696,168688,4/27/21 21:28,Next time maybe you put in a $ in your problems,0,0,0,47,11,0,1,0,0,0,1,2,2,1,1,0,0,0,1,2,0,0,0,,1
217542,Spending Allowance,168663,168669,4/27/21 21:28,I like the way you multiplied 3 by 2 aswell ,0,0,1,44,10,0,0,0,0,0,0,2,2,2,0,0,0,0,0,1,0,0,0,1,
216197,"Money, Money, Money",168690,168416,4/21/21 17:35,I respectfully disagree with you on the last pieces of your math as you had added a positive with a negative. While you should have added -30 with the -83 and gotten -113 then subtractive that with the positive 76 and gotten -37.,0,0,1,229,43,0,1,1,1,1,0,4,5,5,3,3,2,2,4,1,0,0,0,3,2
217553,Spending Allowance,168669,168725,4/27/21 21:28,My strategy is like yours because I also added to find the total amount of money he spent on the things from 7-11.,1,0,0,114,23,0,0,0,0,1,0,4,4,4,1,1,0,1,1,1,0,0,0,1,
216116,"Money, Money, Money",249410,168690,4/21/21 17:33,I like the way how you multiply and add,0,0,0,39,9,0,0,1,0,0,0,1,2,3,0,0,1,0,0,1,0,0,0,1,
217559,Spending Allowance,249413,168395,4/27/21 21:28,I like the way you highlighted the things you were talking about ,0,0,0,65,12,0,0,0,0,0,0,2,3,3,0,1,0,0,0,1,0,0,0,1,
217551,Spending Allowance,249409,168731,4/27/21 21:29,Next time maybe you can speak more,0,0,0,34,7,0,1,1,0,0,1,1,1,1,2,1,0,0,0,2,0,0,0,,
217548,Spending Allowance,168696,168673,4/27/21 21:29,Next time maybe you can have more $'s in your problems,0,0,0,54,11,0,1,1,0,0,1,2,2,1,2,2,0,0,1,2,0,0,0,,1
218470,School Night Sleep,251484,251486,5/5/21 17:30,I really like the strategies that you used. good job!,0,0,0,53,10,0,0,0,0,0,0,2,3,2,1,0,0,2,0,1,0,0,0,2,
218478,School Night Sleep,251345,251348,5/5/21 17:30,I like yours because it is so organized and I got the same answer.,1,0,0,66,14,0,0,1,0,1,0,1,4,2,2,1,1,1,0,2,1,1,0,1,
218465,School Night Sleep,251345,0,5/5/21 17:32,ty ty ty,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
217539,Spending Allowance,168663,249414,4/27/21 21:30,My strategy is like yours because we both multiplied 2 by 3 ,1,0,1,60,12,0,0,0,0,1,0,1,3,2,0,1,0,0,0,1,0,0,0,1,
217542,Spending Allowance,168410,168669,4/27/21 21:30,I like the way you highlighted what you were talking about. ,0,0,0,60,11,0,0,0,0,0,0,1,4,3,0,1,0,1,0,1,0,0,0,1,
217546,Spending Allowance,249413,168747,4/27/21 21:30,My strategy is like yours because I also multiplied 2 and 3,1,0,1,59,12,0,0,1,0,1,0,1,3,2,0,1,1,0,0,1,0,0,0,1,
217541,Spending Allowance,168669,168416,4/27/21 21:30,Why did you not mention (or include in the problem) the $8 Juan earned?,0,0,1,71,14,1,0,1,0,0,0,2,1,2,0,1,1,3,1,2,0,0,0,,1
217538,Spending Allowance,168747,249409,4/27/21 21:30,I like how you organized it but I respectfully disagree with your answer.,0,1,0,73,13,0,0,1,1,0,0,1,5,3,0,0,1,1,0,1,0,1,0,2,1
217544,Spending Allowance,168696,168746,4/27/21 21:30,Next time maybe you could use your highlighter to draw attention,0,0,0,64,11,0,1,0,0,0,1,3,2,2,1,1,0,0,0,2,0,0,0,,
217555,Spending Allowance,168731,168688,4/27/21 21:30,I like the way your work is organized  also I like they  added 5+1 because I did not really think about doing that ,1,0,1,115,23,0,0,1,0,1,0,2,6,5,1,2,0,0,0,1,0,0,0,3,
216178,"Money, Money, Money",168418,168723,4/21/21 19:34,I like the way you grouped your work together.,0,0,0,46,9,0,0,1,0,0,0,2,3,2,0,0,0,1,0,1,0,0,0,2,
217537,Spending Allowance,168669,168748,4/27/21 21:31,I like the way you labeled your steps in chronological order.,0,0,0,61,11,0,0,1,0,0,0,3,3,2,1,0,0,1,0,1,0,0,0,1,
216174,"Money, Money, Money",168668,167126,4/21/21 19:35,"I like the way you did not put the $ 
",0,0,0,38,10,0,0,0,0,0,0,1,2,2,0,1,0,0,1,1,0,0,0,1,
217547,Spending Allowance,249409,168663,4/27/21 21:31,I like the way you spoke and explained,0,0,0,38,8,0,0,1,0,0,0,1,2,3,0,0,1,0,0,1,0,0,0,1,
217546,Spending Allowance,168410,168747,4/27/21 21:31,I like the way you organized your work. ,0,0,0,40,8,0,0,1,0,0,0,2,3,2,0,0,0,1,0,1,0,0,0,2,
217538,Spending Allowance,168725,249409,4/27/21 21:31,I hadn't thought of doing it that way wow. That right I think in some ways.,1,0,0,75,16,0,0,0,1,1,0,3,4,3,0,2,0,2,0,2,0,0,1,2,
216174,"Money, Money, Money",168418,167126,4/21/21 19:37,I like the way you used arrows to show your work.,0,0,0,49,11,0,0,1,0,0,0,3,3,3,0,0,0,1,0,1,0,0,0,2,
217561,Spending Allowance,168446,251144,4/27/21 21:31,I did the same thing but wrote it differently but the answer.,1,1,0,61,12,0,0,0,1,0,0,2,2,2,1,0,2,1,0,2,1,1,0,,
217537,Spending Allowance,168696,168748,4/27/21 21:31,Next time maybe you could use a highlighter to draw attention and use $'s in your math problems,0,0,0,95,18,0,1,1,0,0,1,5,2,3,1,1,1,0,1,2,0,0,0,,1
217537,Spending Allowance,249413,168748,4/27/21 21:32,Next time maybe you can highlight the thing your talking about ,0,0,0,63,11,0,1,0,0,0,1,2,2,2,1,1,0,0,0,2,0,0,0,,
217564,Spending Allowance,168377,168439,4/27/21 21:32,i like the way you did your math and you got the answer ,0,0,0,56,13,0,0,1,0,0,0,3,4,3,0,0,1,0,0,1,0,1,0,1,
217559,Spending Allowance,168747,168395,4/27/21 21:32,I like how you talked clearly.,0,0,0,30,6,0,0,0,0,0,0,0,2,2,0,0,0,1,0,1,0,0,0,2,
217565,Spending Allowance,168444,168446,4/27/21 21:38,I like the way you explained how you got your answer,0,0,0,52,11,0,0,0,0,0,0,2,4,3,0,0,0,0,0,1,0,1,0,1,
216201,"Money, Money, Money",168696,168370,4/21/21 20:46,Next time maybe you can do the video again but with no background noises,0,0,0,72,14,0,1,0,1,0,1,4,1,1,1,1,1,0,0,2,0,0,0,,1
217575,Spending Allowance,168377,168444,4/27/21 21:39,i like how you multiply and show your work and I did not multiply and we got the same anwer,1,1,0,91,20,0,0,1,0,0,0,2,5,5,1,1,3,0,0,2,1,0,0,2,
216195,"Money, Money, Money",168669,249405,4/21/21 20:47,"Why did you make no further mention of $76, the result of the first problem you solved?",0,0,1,87,17,1,1,1,0,1,1,3,2,2,2,1,0,2,1,2,0,0,0,,1
217560,Spending Allowance,168444,168442,4/27/21 21:39,I like the  way you explained your answer,0,0,0,41,8,0,0,0,0,0,0,2,3,2,0,0,0,0,0,1,0,1,0,1,
216193,"Money, Money, Money",249409,168395,4/21/21 20:46,i agree!,0,0,0,8,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,,
217576,Spending Allowance,168435,168382,4/27/21 21:42,I think you did a really good job on solving the problem keep up the good work.,0,0,0,79,17,0,0,1,0,1,0,3,2,4,2,0,0,1,0,1,0,0,0,3,1
216203,"Money, Money, Money",168410,168746,4/21/21 20:47,Next time maybe you can explain your steps more clearly like not sound distracted. ,0,0,0,83,14,0,1,1,0,1,1,2,2,2,2,1,0,1,0,2,0,0,0,2,
217576,Spending Allowance,168441,168382,4/27/21 21:45,I think this is a really good job this would really be helpful,0,0,0,62,13,0,0,0,0,0,0,1,3,1,2,3,0,0,0,1,0,0,0,2,
216201,"Money, Money, Money",249409,168370,4/21/21 20:47,i agree,0,0,0,7,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,,
216192,"Money, Money, Money",168696,168713,4/21/21 20:47,Next time maybe you can use the highlighter to draw attention,0,0,0,61,11,0,1,0,0,0,1,3,1,2,1,1,0,0,0,2,0,0,0,,
217581,Spending Allowance,168441,168431,4/27/21 21:46,this will really be helpful good job.,0,0,0,37,7,0,0,0,0,0,0,1,1,0,2,2,0,1,0,1,0,0,0,2,
217580,Spending Allowance,168382,168441,4/27/21 21:45,I like how you did it because you put the answer the amount you spent.,0,0,0,70,15,0,0,0,0,1,0,2,5,4,0,0,0,1,0,1,0,1,0,1,
216193,"Money, Money, Money",249413,168395,4/21/21 20:48,"I hadn't thought of subtrating the withdraw
",1,0,0,44,7,0,0,0,1,0,0,1,1,2,0,1,0,0,0,1,0,0,0,,
217567,Spending Allowance,168382,168451,4/27/21 21:47,I like how you did your answer in parts.,0,0,0,40,9,0,0,0,0,0,0,2,3,2,0,0,0,1,0,1,0,1,0,1,
216198,"Money, Money, Money",168395,168747,4/21/21 20:48,My strategy is like yours because I also did -20.75 x4  ,1,0,1,56,11,0,0,0,0,1,0,1,3,2,0,1,0,0,1,1,0,0,0,1,
216193,"Money, Money, Money",168747,168395,4/21/21 20:48,Next time you could have highlighted your answer. Something that you did well was talking clear.,0,0,0,96,16,0,1,0,0,1,1,2,3,3,2,4,0,2,0,2,0,1,0,2,
217567,Spending Allowance,168435,168451,4/27/21 21:48,I like how you were explaining on how you got your answer good job.,0,0,0,67,14,0,0,0,0,0,0,2,4,3,1,1,0,1,0,1,0,1,0,2,
